impl,capacity,n_items,status,time,result,error
impl_1,40,3,ok,2.010000025620684e-05,6,
impl_2,40,3,ok,4.169999920122791e-05,6,
impl_3,40,3,ok,0.0008770000004005851,6,
impl_1,13,5,ok,2.3999999029911123e-05,43,
impl_2,13,5,ok,3.49000001733657e-05,43,
impl_3,13,5,ok,2.4900000425986946e-05,35,
impl_1,13,5,ok,3.479999941191636e-05,43,
impl_2,13,5,ok,2.7800000680144876e-05,43,
impl_3,13,5,ok,1.9699999029398896e-05,35,
impl_4,13,5,ok,4.240000089339446e-05,43,
impl_1,13,5,ok,2.4400000256719068e-05,43,
impl_2,13,5,ok,2.300000051036477e-05,43,
impl_3,13,5,ok,1.4799999917158857e-05,35,
impl_4,13,5,ok,3.5200000638724305e-05,43,
impl_1,13,5,ok,2.8800001018680632e-05,43,
impl_2,13,5,ok,2.3600001441081986e-05,43,
impl_3,13,5,ok,1.5800000255694613e-05,35,
impl_4,13,5,ok,3.4500000765547156e-05,43,
impl_1,40,10,ok,0.00048799999967741314,488,
impl_2,40,10,ok,0.0001007999999274034,488,
impl_3,40,10,ok,1.8500000805943273e-05,488,
impl_4,40,10,ok,0.00013349999971978832,488,
impl_1,70,20,ok,0.45659580000028654,879,
impl_2,70,20,ok,0.00040520000038668513,879,
impl_3,70,20,ok,2.6100000468431972e-05,868,
impl_4,70,20,ok,0.00045089999912306666,879,
impl_1,100,30,timeout,454.1471508000013,1327,
impl_2,100,30,ok,0.0008400999995501479,1327,
impl_3,100,30,ok,3.600000127335079e-05,1327,
impl_4,100,30,ok,0.0009359999985463219,1327,
impl_1,100,30,timeout,459.1570298000006,1327,
impl_2,100,30,ok,0.0007563999988633441,1327,
impl_3,100,30,ok,4.330000047048088e-05,1327,
impl_4,100,30,ok,0.0009664999997767154,1327,
impl_1,100,30,timeout,463.16870460000064,1327,
impl_2,100,30,ok,0.0007716000000073109,1327,
impl_3,100,30,ok,3.550000110408291e-05,1327,
impl_4,100,30,ok,0.0009375000008731149,1327,
impl_1,100,28,timeout,120.00155729999824,1290,
impl_2,100,28,ok,0.0008072000018728431,1290,
impl_3,100,28,ok,3.440000000409782e-05,1283,
impl_4,100,28,ok,0.0009142000017163809,1290,
impl_1,100,30,timeout,476.90515530000266,1327,
impl_2,100,30,ok,0.0007512000011047348,1327,
impl_3,100,30,ok,3.360000118846074e-05,1327,
impl_4,100,30,ok,0.0009430999998585321,1327,
impl_1,100,32,timeout,1742.1655490999983,1428,
impl_2,100,32,ok,0.000806400003057206,1428,
impl_3,100,32,ok,3.49000001733657e-05,1421,
impl_4,100,32,ok,0.000999500000034459,1428,
